Gold,Silver,Bronze,NOC,Continent,Region,Total
40,44,42,United States,America,North America,126
40,27,24,China,Asia,East Asia,91
20,12,13,Japan,Asia,East Asia,45
18,19,16,Australia,Oceania,Oceania,53
16,26,22,France,Europe,Western Europe,64
15,7,12,Netherlands,Europe,Western Europe,34
14,22,29,Great Britain,Europe,Western Europe,65
13,9,10,South Korea,Asia,East Asia,32
12,13,15,Italy,Europe,Western Europe,40
12,13,8,Germany,Europe,Western Europe,33
10,7,3,New Zealand,Oceania,Oceania,20
9,7,11,Canada,America,North America,27
8,2,3,Uzbekistan,Eurasia,Eurasia,13
6,7,6,Hungary,Europe,Central and Eastern Europe,19
5,4,9,Spain,Europe,Western Europe,18
4,4,3,Sweden,Europe,Western Europe,11
4,2,5,Kenya,Africa,Sub-Saharan Africa,11
4,1,3,Norway,Europe,Western Europe,8
4,0,3,Ireland,Europe,Western Europe,7
3,7,10,Brazil,America,Latin America and the Caribbean,20
3,6,3,Iran,Africa,Middle East and North Africa (MENA),12
3,5,4,Ukraine,Europe,Central and Eastern Europe,12
3,4,2,Romania,Europe,Central and Eastern Europe,9
3,3,1,Georgia,Eurasia,Eurasia,7
3,1,6,Belgium,Europe,Western Europe,10
3,1,3,Bulgaria,Europe,Central and Eastern Europe,7
3,1,1,Serbia,Europe,Central and Eastern Europe,5
3,0,2,Czechia,Europe,Central and Eastern Europe,5
2,2,5,Denmark,Europe,Western Europe,9
2,2,3,Azerbaijan,Eurasia,Eurasia,7
2,2,3,Croatia,Europe,Central and Eastern Europe,7
2,1,6,Cuba,America,Latin America and the Caribbean,9
2,1,1,Bahrain,Africa,Middle East and North Africa (MENA),4
2,1,0,Slovenia,Europe,Central and Eastern Europe,3
2,0,5,Chinese Taipei,Asia,East Asia,7
2,0,3,Austria,Europe,Western Europe,5
2,0,2,Hong Kong,Asia,East Asia,4
2,0,2,Philippines,Asia,Southeast Asia,4
2,0,1,Algeria,Africa,Middle East and North Africa (MENA),3
2,0,1,Indonesia,Asia,Southeast Asia,3
1,5,1,Israel,Africa,Middle East and North Africa (MENA),7
1,4,5,Poland,Europe,Central and Eastern Europe,10
1,3,3,Kazakhstan,Eurasia,Eurasia,7
1,3,2,Jamaica,America,Latin America and the Caribbean,6
1,3,2,South Africa,Africa,Sub-Saharan Africa,6
1,3,2,Thailand,Asia,Southeast Asia,6
1,3,1,Individual Neutral Athletes,Eurasia,Eurasia,5
1,3,0,Ethiopia,Africa,Sub-Saharan Africa,4
1,2,5,Switzerland,Europe,Western Europe,8
1,2,2,Ecuador,America,Latin America and the Caribbean,5
1,2,1,Portugal,Europe,Western Europe,4
1,1,6,Greece,Europe,Central and Eastern Europe,8
1,1,1,Argentina,America,Latin America and the Caribbean,3
1,1,1,Egypt,Africa,Middle East and North Africa (MENA),3
1,1,1,Tunisia,Africa,Middle East and North Africa (MENA),3
1,1,0,Botswana,Africa,Sub-Saharan Africa,2
1,1,0,Chile,America,Latin America and the Caribbean,2
1,1,0,Saint Lucia,America,Latin America and the Caribbean,2
1,1,0,Uganda,Africa,Sub-Saharan Africa,2
1,0,2,Dominican Republic,America,Latin America and the Caribbean,3
1,0,1,Guatemala,America,Latin America and the Caribbean,2
1,0,1,Morocco,Africa,Middle East and North Africa (MENA),2
1,0,0,Dominica,America,Latin America and the Caribbean,1
1,0,0,Pakistan,Asia,South Asia,1
0,3,5,Türkiye,Europe,Middle East and North Africa (MENA),8
0,3,2,Mexico,America,Latin America and the Caribbean,5
0,3,1,Armenia,Eurasia,Eurasia,4
0,3,1,Colombia,America,Latin America and the Caribbean,4
0,2,4,Kyrgyzstan,Eurasia,Eurasia,6
0,2,4,North Korea,Asia,East Asia,6
0,2,2,Lithuania,Europe,Central and Eastern Europe,4
0,1,5,India,Asia,South Asia,6
0,1,3,Moldova,Europe,Central and Eastern Europe,4
0,1,1,Kosovo,Europe,Central and Eastern Europe,2
0,1,0,Cyprus,Europe,Central and Eastern Europe,1
0,1,0,Fiji,Oceania,Oceania,1
0,1,0,Jordan,Africa,Middle East and North Africa (MENA),1
0,1,0,Mongolia,Asia,East Asia,1
0,1,0,Panama,America,Latin America and the Caribbean,1
0,0,3,Tajikistan,Eurasia,Eurasia,3
0,0,2,Albania,Europe,Central and Eastern Europe,2
0,0,2,Grenada,America,Latin America and the Caribbean,2
0,0,2,Malaysia,Asia,Southeast Asia,2
0,0,2,Puerto Rico,America,Latin America and the Caribbean,2
0,0,1,Cape Verde,Africa,Western Africa,1
0,0,1,Ivory Coast,Africa,Sub-Saharan Africa,1
0,0,1,Peru,America,Latin America and the Caribbean,1
0,0,1,Qatar,Asia,West Asia,1
0,0,1,Refugee Olympic Team,No continent,No region,1
0,0,1,Singapore,Asia,Southeast Asia,1
0,0,1,Slovakia,Europe,Central and Eastern Europe,1
0,0,1,Zambia,Africa,Sub-Saharan Africa,1
